code,product_name,brands,categories,nutriscore_grade,nova_group,ingredients_text,color
62,Abricots,Kazidomi,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,dried products,fruits based foods,dried plant-based foods,fruits,dried fruits,dried apricots",a,1,Abricots,green
157,Matcha Tè Verde Giapponese,NaturaleBio,food supplement,a,1,Organic Matcha Green Tea powder,green
194,Bio Walnusskerne Achtel kerne,Biojoy,"plant-based foods and beverages, plant-based foods, nuts and their products, nuts, shelled nuts, walnuts, walnut kernels",b,1,100% Organic Walnut kernels (Juglans regia),green
356,Huile d'olive vierge extra cuve magali,,"aliments et boissons à base de végétaux, aliments d'origine végétale, matières grasses, matières grasses végétales, produits de l'olivier, huiles, huiles d'olive, huiles d'olive vierges extra, huiles d'olive vierges",b,2,,green
751,Multi Collagen Protein,NutriVein,"dietary supplements,supplement",a,1,"Egg, Fish (Salmon & Mackerel).",green
101403163,Potato,,potatoes,b,1,Potato,green
101403165,Onion,More,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,condiments,vegetables based foods,culinary plants,fresh foods,fresh plant-based foods,onions and their products,fresh vegetables,onions,fresh onions",a,1,Onion,green
101481695,Spinach,More,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,vegetables based foods,vegetables,fresh foods,fresh plant-based foods,leaf vegetables,fresh vegetables,spinachs,fresh spinachs",a,1,Spinach,green
101481703,Cucumber,More,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,vegetables based foods,vegetables,cucumbers",a,1,Cucumber,green
101481721,Mint leaves,,mint,a,1,Mint leaves,green
101481723,Radish,More,vegetables,a,1,Radish,green
101481757,Broad Beans (Avare Chikadi),More,vegetables,a,1,Broad Beans,green
101646267,Carrot,More,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,vegetables based foods,fresh foods,fresh plant-based foods,fresh vegetables",a,1,Carrot,green
105000417,"Lagg's, dieter's herbal tea",Lagg's,"plant-based foods and beverages, beverages, hot beverages, plant-based beverages, teas, tea bags",b,1,"Andropogon citratus, uva ursi, hibiscus flowers, cinnamon, equisetum arvense, flourensia cernua.",green
1062,Blue Tea Chamomile Flower Herbal Tea,Blue Tea,teas,b,1,Chamomile Flowers,green
111048403,100% Pure Canola Oil,Canola Harvest,"plant-based foods and beverages, plant-based foods, fats, vegetable fats, vegetable oils",b,2,100% canola oil no additives or preservatives,green
1265,pumpkin seeds,SebaGarden,"plant-based foods and beverages, plant-based foods, seeds, pumpkin and squash plant products, cucurbitacea seeds, pumpkin seeds and their products, pumpkin seeds",a,1,Pumpkin seeds,green
1449,Nutritional yeast flakes fortified gluten vegan free no ngo,Anthony's,nutritional yeast,a,1,"Inactive Nutritional Yeast [Dried Yeast, Niacin (Vitamin B3), Pyridoxine Hydrochloride (Vitamin B6), Thiamin Hydrochloride (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid, Cyanocobalamin (Vitamin B12 produced by natural fermentation - not synthetic or animal source)].",green
